scenario_id,hist_mean_shift,treatment_effect,method,model,bias,MSE,reject,mc_se_reject,emp_var,mc_sd,n_sims
1,-0.5,0,gibbs,Bayesian_PROCOVA - 0.001,0.052682351672696706,0.029989274790670328,0.07537688442211055,0.0187143577102493,0.02735128827256578,0.16538224896453,199
1,-0.5,0,gibbs,Bayesian_PROCOVA - 0.005,0.07958394619420607,0.03345476976935531,0.07537688442211055,0.0187143577102493,0.027258140859722682,0.16510039630395404,199
1,-0.5,0,gibbs,Bayesian_PROCOVA - 0.01,0.09620781843880227,0.03364634240698561,0.09045226130653268,0.020332740848379834,0.02451358190691002,0.15656813822393756,199
1,-0.5,0,gibbs,Bayesian_PROCOVA - 0.05,0.06899250146407426,0.020639271097000415,0.05025125628140704,0.015486429060404846,0.01595950435306714,0.12633093189344857,199
1,-0.5,0,jags,Bayesian_PROCOVA - JAGS - 0.005,0.01129156594088376,0.01906792631917697,0.06532663316582918,0.017516548409034872,0.019036085579283588,0.13797132158272454,199
1,-0.5,0,jags,Bayesian_PROCOVA - JAGS - 0.01,0.009942858348059042,0.017790022620745676,0.050251256281407045,0.015486429060404847,0.017780511492599023,0.13334358436984894,199
2,-0.5,0.35,gibbs,Bayesian_PROCOVA - 0.001,0.0698037336494064,0.04322785325614401,0.7688442211055276,0.02988443274504767,0.03854900562083133,0.19633900687543301,199
2,-0.5,0.35,gibbs,Bayesian_PROCOVA - 0.005,0.0871009621553348,0.04390677963176823,0.7839195979899497,0.029175406270373228,0.036503637387137626,0.19105925098549303,199
2,-0.5,0.35,gibbs,Bayesian_PROCOVA - 0.01,0.09801305334706119,0.03974781541751541,0.7989949748743719,0.02840854187133945,0.030293485360753575,0.17405023803704944,199
2,-0.5,0.35,gibbs,Bayesian_PROCOVA - 0.05,0.07013576128380855,0.021848531259478925,0.8693467336683417,0.023890767999809864,0.017015008805430748,0.13044159154744606,199
2,-0.5,0.35,jags,Bayesian_PROCOVA - JAGS - 0.005,0.013063686433406942,0.02109452338670815,0.763819095477387,0.03010863787488353,0.021029539561677142,0.14501565281609136,199
2,-0.5,0.35,jags,Bayesian_PROCOVA - JAGS - 0.01,0.010907584714769205,0.019997837047150017,0.7688442211055276,0.02988443274504767,0.019979259933965616,0.14134801001063163,199
3,-0.25,0,gibbs,Bayesian_PROCOVA - 0.001,0.13918220516850952,0.04375940367417067,0.2600000000000002,0.031016124838541652,0.02451026878251418,0.15655755741104987,200
3,-0.25,0,gibbs,Bayesian_PROCOVA - 0.005,0.11759156822460791,0.03301426347987653,0.16499999999999998,0.026246428328441186,0.01928290106769236,0.13886288585396878,200
3,-0.25,0,gibbs,Bayesian_PROCOVA - 0.01,0.09710835051181962,0.0262360713784738,0.11999999999999991,0.022978250586152105,0.016890492099846607,0.1299634260084221,200
3,-0.25,0,gibbs,Bayesian_PROCOVA - 0.05,0.0414475389588681,0.01759836787990359,0.050000000000000044,0.015411035007422448,0.015960270747896188,0.12633396513960998,200
3,-0.25,0,jags,Bayesian_PROCOVA - JAGS - 0.005,0.03075669335835009,0.020547067991044318,0.07499999999999998,0.018624580532189173,0.019699591763522352,0.14035523418641127,200
3,-0.25,0,jags,Bayesian_PROCOVA - JAGS - 0.01,0.025206648566212107,0.018554367922040616,0.059999999999999956,0.01679285562374666,0.018009037980000097,0.13419775698572647,200
4,-0.25,0.35,gibbs,Bayesian_PROCOVA - 0.001,0.14977722720167802,0.04288338571008382,0.9099999999999999,0.02023610634484807,0.020552932584784654,0.14336294006745487,200
4,-0.25,0.35,gibbs,Bayesian_PROCOVA - 0.005,0.12650091654036857,0.03289563917008959,0.915,0.019719913792915014,0.016978047522147037,0.1302998369996948,200
4,-0.25,0.35,gibbs,Bayesian_PROCOVA - 0.01,0.10264554430450538,0.026122869310194773,0.92,0.019183326093250873,0.015665086979524217,0.12516024520399524,200
4,-0.25,0.35,gibbs,Bayesian_PROCOVA - 0.05,0.03920098270433716,0.018022474742697057,0.865,0.024163505540380516,0.0165686007012174,0.12871907667947824,200
4,-0.25,0.35,jags,Bayesian_PROCOVA - JAGS - 0.005,0.016843203050215284,0.021007455104262742,0.7799999999999999,0.029291637031753623,0.020827901120876343,0.14431874833463718,200
4,-0.25,0.35,jags,Bayesian_PROCOVA - JAGS - 0.01,0.015481876361640627,0.020983436859301378,0.7550000000000001,0.030411757594719837,0.020847988305149997,0.14438832468433865,200
5,0,0,gibbs,Bayesian_PROCOVA - 0.001,-0.012519207920934394,0.013670486878635528,0.05999999999999996,0.01679285562374666,0.013581664634842155,0.11654039915343586,200
5,0,0,gibbs,Bayesian_PROCOVA - 0.005,-0.01569252906293739,0.012685827300728711,0.024999999999999994,0.011039701082909806,0.012502082243555354,0.11181271056349253,200
5,0,0,gibbs,Bayesian_PROCOVA - 0.01,-0.017629798167064302,0.01289567986184824,0.01999999999999999,0.009899494936611663,0.012648110631594786,0.11246381921131252,200
5,0,0,gibbs,Bayesian_PROCOVA - 0.05,-0.0216510965489155,0.015620165443400492,0.04500000000000005,0.014658615214269054,0.01522753312726637,0.12339989111529381,200
5,0,0,jags,Bayesian_PROCOVA - JAGS - 0.005,-0.020885905346639096,0.015963161249217938,0.034999999999999996,0.012995191418367025,0.01560496503223033,0.12491983442284227,200
5,0,0,jags,Bayesian_PROCOVA - JAGS - 0.01,-0.02193334411695381,0.015989712972089627,0.03499999999999999,0.012995191418367023,0.015586574259233087,0.12484620242215254,200
6,0,0.35,gibbs,Bayesian_PROCOVA - 0.001,-0.010415864081809553,0.01563071799629125,0.8241206030150754,0.026988349868952054,0.015600622861476671,0.12490245338453793,199
6,0,0.35,gibbs,Bayesian_PROCOVA - 0.005,-0.010977958233629532,0.014409247100384274,0.814070351758794,0.02757901523144396,0.014360896844179731,0.11983695942479403,199
