scenario_id,hist_mean_shift,treatment_effect,method,model,bias,MSE,reject,mc_se_reject,emp_var,mc_sd,n_sims
4,-0.25,0.35,gibbs,NA,0.0287430298317795,0.01807851182503483,0.83,0.026561249970586856,0.017339045287562076,0.13167780863745446,200
4,-0.25,0.35,glm,ANCOVA,0.0029881247748538425,0.017712393630222385,0.75,0.030618621784789725,0.017792426874926926,0.1333882561357143,200
4,-0.25,0.35,glm,ANOVA,0.0037214109380050743,0.02002059549622505,0.7200000000000001,0.03174901573277508,0.020107283011915104,0.14180015166393548,200
4,-0.25,0.35,glm,PROCOVA - superlearner,-2.071132030536764e-4,0.018442336236497766,0.73,0.03139267430468452,0.018534968181526508,0.13614318999320718,200
4,-0.25,0.35,glmnet,A_LASSO,0.023513643169490957,0.021913242988357028,0.7550000000000001,0.030411757594719837,0.021467690023371733,0.14651856545629885,200
4,-0.25,0.35,glmnet,A_LASSO_ADJ,0.0222300886401069,0.019489067108284738,0.79,0.028801041647829335,0.01909034197722385,0.13816780369255297,200
5,0,0,gibbs,Bayesian_PROCOVA,-0.015227540600881646,0.012927362703129356,0.024999999999999994,0.011039701082909806,0.01275928111595764,0.11295698790228802,200
5,0,0,gibbs,NA,-0.02205571155080158,0.016606305692203515,0.03999999999999997,0.013856406460551014,0.016200855557981262,0.127282581518373,200
5,0,0,glm,ANCOVA,-0.027035852285587032,0.01819342285125042,0.03999999999999998,0.013856406460551016,0.017550236726072713,0.13247730645688988,200
5,0,0,glm,ANOVA,-0.024498020567468425,0.019593379401611627,0.050000000000000044,0.015411035007422448,0.019088669738580425,0.13816175208276865,200
5,0,0,glm,PROCOVA - superlearner,-0.0240309231602917,0.018158752321764813,0.04500000000000004,0.014658615214269054,0.01766961512947635,0.13292710457042367,200
5,0,0,glmnet,A_LASSO,-0.017816682642697795,0.016483825825348655,0.03999999999999997,0.013856406460551014,0.01624762979392768,0.12746619078770527,200
5,0,0,glmnet,A_LASSO_ADJ,-0.021005691985570375,0.015569021638575042,0.04500000000000005,0.014658615214269054,0.015203801550535058,0.12330369641878161,200
6,0,0.35,gibbs,Bayesian_PROCOVA,-0.010895292693972089,0.014635000891261277,0.8020304568527918,0.028389746051693806,0.014590356210253412,0.1207905468579947,197
6,0,0.35,gibbs,NA,-0.008866930255588394,0.018395554277939378,0.7055837563451777,0.03247297346595852,0.01841038555958692,0.1356848759427038,197
6,0,0.35,glm,ANCOVA,-0.009598257952813246,0.02062935060222232,0.67,0.0332490601370926,0.020640426177380482,0.14366776318082106,200
6,0,0.35,glm,ANOVA,-0.005997073868259635,0.021856136091174688,0.635,0.0340422531569225,0.02192982029768174,0.1480872050437908,200
6,0,0.35,glm,PROCOVA - superlearner,-0.006263194193453806,0.020611631935615417,0.7,0.032403703492039304,0.02067578325036231,0.14379076204806174,200
6,0,0.35,glmnet,A_LASSO,-0.008651861475690666,0.01855744345746556,0.75,0.030618621784789725,0.018575466080875392,0.13629184157856036,200
6,0,0.35,glmnet,A_LASSO_ADJ,-0.009034737964821358,0.018009372844922617,0.7600000000000001,0.030199337741082993,0.0180178355324921,0.13423053129780907,200
7,0.25,0,gibbs,Bayesian_PROCOVA,-0.11250378113492496,0.028474418336226878,0.13000000000000006,0.02378024390118823,0.015896801574443994,0.12608251890902242,200
7,0.25,0,gibbs,NA,-0.01444358877768099,0.015056191060874337,0.02999999999999998,0.012062338081814814,0.01492218472773426,0.12215639454295571,200
7,0.25,0,glm,ANCOVA,0.013278170659884276,0.01564948019792617,0.025000000000000033,0.011039701082909815,0.015550925006887588,0.12470334801795654,200
7,0.25,0,glm,ANOVA,0.010822027889221611,0.01788246380545944,0.03999999999999997,0.013856406460551014,0.01785462062092899,0.1336211832791829,200
7,0.25,0,glm,PROCOVA - superlearner,0.015989811188306325,0.016360801603742606,0.034999999999999976,0.012995191418367021,0.01618605783106023,0.12722443881212536,200
7,0.25,0,glmnet,A_LASSO,-0.00854029558929922,0.01933781928606514,0.07500000000000001,0.018624580532189176,0.019361691092776415,0.13914629385210522,200
7,0.25,0,glmnet,A_LASSO_ADJ,-0.00578576809188276,0.017161162128023964,0.03999999999999998,0.013856406460551016,0.017213755794583844,0.13120120347993705,200
8,0.25,0.35,gibbs,Bayesian_PROCOVA,-0.11852194760108767,0.03187322494907407,0.4191919191919192,0.035066319136147654,0.01791625904270041,0.13385163070616812,198
8,0.25,0.35,gibbs,NA,-0.02692129546168136,0.018496473315925615,0.6666666666666666,0.033501260508640406,0.01786192892885743,0.1336485275970425,198
8,0.25,0.35,glm,ANCOVA,0.004768697298813147,0.019236548158010704,0.71,0.03208582241426889,0.019310359481490437,0.13896171948234678,200
8,0.25,0.35,glm,ANOVA,4.627021389343719e-4,0.02079270170746718,0.6900000000000002,0.03270321085153566,0.0208969724765807,0.1445578516600904,200
8,0.25,0.35,glm,PROCOVA - superlearner,0.0025013283319013932,0.01947138977797473,0.695,0.03255572146336186,0.019562947873920357,0.13986760837992604,200
8,0.25,0.35,glmnet,A_LASSO,-0.018654572508195532,0.0225183362625803,0.6549999999999999,0.03361361331365612,0.022281751946851034,0.14927073372517144,200
8,0.25,0.35,glmnet,A_LASSO_ADJ,-0.014408396715151322,0.020257882207060207,0.6950000000000001,0.03255572146336186,0.02015103548860204,0.1419543429719642,200
9,0.5,0,gibbs,Bayesian_PROCOVA,-0.06447485161140935,0.03573023388391054,0.125,0.023385358667337135,0.03173188682773596,0.1781344627738719,200
9,0.5,0,gibbs,NA,-0.044387513429213855,0.020265722247155678,0.06500000000000004,0.01743201078476032,0.018387407938419115,0.13560017676396707,200
9,0.5,0,glm,ANCOVA,0.001663277888249932,0.019701696315824444,0.06500000000000003,0.01743201078476032,0.019797919419588843,0.14070507957991013,200
9,0.5,0,glm,ANOVA,0.0075140569457399576,0.02078849390366102,0.06500000000000004,0.01743201078476032,0.020836213921484614,0.1443475456025651,200
9,0.5,0,glm,PROCOVA - superlearner,0.0019890261720926956,0.019356963728575552,0.06500000000000003,0.01743201078476032,0.019450258797449535,0.13946418464053606,200
9,0.5,0,glmnet,A_LASSO,8.013309714916345e-4,0.021368017106243514,0.07,0.01804161855266872,0.021474748718510198,0.1465426515336412,200
9,0.5,0,glmnet,A_LASSO_ADJ,-0.004548128614704874,0.01985292449378677,0.07499999999999996,0.01862458053218917,0.019931898512453142,0.1411803758050429,200
10,0.5,0.35,gibbs,Bayesian_PROCOVA,-0.06447580137292758,0.035184209625864396,0.4499999999999999,0.03517811819867572,0.03118299564139012,0.17658707665452225,200
10,0.5,0.35,gibbs,NA,-0.04258626215643983,0.018554306170845646,0.6049999999999999,0.034566963997435474,0.016824840649636814,0.12971060345876437,200
10,0.5,0.35,glm,ANCOVA,0.009251272553066682,0.016663756772947267,0.7550000000000001,0.030411757594719837,0.01666147811969463,0.12907934815335345,200
10,0.5,0.35,glm,ANOVA,0.008981220113239496,0.017826220297269133,0.7299999999999999,0.03139267430468453,0.017834731640750445,0.133546739536203,200
10,0.5,0.35,glm,PROCOVA - superlearner,0.007786283075927394,0.017451203104547765,0.7299999999999996,0.03139267430468454,0.01747796673407969,0.13220426140665698,200
10,0.5,0.35,glmnet,A_LASSO,0.0028272571622440794,0.018112128444525047,0.71,0.03208582241426889,0.01819511061453627,0.1348892531469289,200
10,0.5,0.35,glmnet,A_LASSO_ADJ,0.0020188854293691867,0.017238893706306158,0.7299999999999996,0.03139267430468454,0.017321424932592196,0.1316108845521228,200
